asset_clas,location_d,asset_cd,maintained,steward,maint_info,life_cycle,mgmt_num,asset_type,material,priority,who_remove,seg_label,comments,trans_cana,greenway,operationa,Shape_Length
TI OR ROADS PROJECT,,ACA678,CALGARY PARKS,CALGARY PARKS,LIVEABLE STREETS PROJECT,ACTIVE,0.000000000000000,REGIONAL,ASPHALT,,,,,NO,NO,OPEN,106.914926816621559
TI OR ROADS PROJECT,,ACA678,CALGARY PARKS,CALGARY PARKS,LIVEABLE STREETS PROJECT,ACTIVE,0.000000000000000,REGIONAL,ASPHALT,,,,,NO,NO,OPEN,43.782485189996081
TI OR ROADS PROJECT,,ACA678,CALGARY PARKS,CALGARY PARKS,LIVEABLE STREETS PROJECT,ACTIVE,0.000000000000000,REGIONAL,ASPHALT,,,,,NO,NO,OPEN,62.986386664208133
TI OR ROADS PROJECT,,ACA678,CALGARY PARKS,CALGARY PARKS,LIVEABLE STREETS PROJECT,ACTIVE,0.000000000000000,REGIONAL,ASPHALT,,,,,NO,NO,OPEN,62.364618881326173
,,BRD895,CALGARY PARKS,CALGARY PARKS,,ACTIVE,0.000000000000000,REGIONAL,ASPHALT,,,,,NO,NO,OPEN,53.458172051085754
,,BRD890,CALGARY PARKS,CALGARY PARKS,,ACTIVE,0.000000000000000,REGIONAL,ASPHALT,,,,,NO,NO,OPEN,134.215565038020941
,,CRA111,CALGARY PARKS,CALGARY PARKS,,ACTIVE,0.000000000000000,LOCAL,ASPHALT,,,,,NO,NO,OPEN,16.706199204439642
,,CRA111,CALGARY PARKS,CALGARY PARKS,,ACTIVE,0.000000000000000,LOCAL,ASPHALT,,,,,NO,NO,OPEN,28.729491642139493
,,SAD501,CALGARY PARKS,CALGARY PARKS,,ACTIVE,0.000000000000000,REGIONAL,ASPHALT,,,,,NO,NO,OPEN,41.100305666633460
,,SAD336,CALGARY PARKS,CALGARY PARKS,,ACTIVE,0.000000000000000,REGIONAL,ASPHALT,,,,,NO,NO,OPEN,89.859118127905916
,,SAD336,CALGARY PARKS,CALGARY PARKS,,ACTIVE,0.000000000000000,REGIONAL,ASPHALT,,,,,NO,NO,OPEN,89.500486030748093
