asset_cd,asset_type,created_dt,life_cycle,location_d,maintained,modified_d,name,steward,wam_id,Shape_Length,Shape_Area
SGH008,WETLAND,2016-12-07,INSTALLED,,DEVELOPER CONSTRUCTION,2016-12-07,,CALGARY PARKS,N-51188274,329.142892437029104,7037.202471467061514
ALT701,NATURAL CREEK OR STREAM,2009-09-09,ACTIVE,,CALGARY PARKS,,READER'S CREEK,CALGARY PARKS,N-30000017,358.345917986258087,370.455091795049952
PAN060,NATURAL CREEK OR STREAM,2009-09-09,ACTIVE,,CALGARY PARKS,2011-08-22,BEDDINGTON CREEK,CALGARY PARKS,N-30000118,1150.669811153279170,2198.386450386250999
ING037,WETLAND,2009-09-09,ACTIVE,PEARCE ESTATES,CALGARY PARKS,2013-12-18,PEARCE ESTATES,CALGARY PARKS,N-30000111,555.675912762714006,1007.967228253747521
GPK704,NATURAL POND,2011-06-15,ACTIVE,,CALGARY PARKS SHARED,2016-06-09,,CALGARY PARKS,N-50880405,301.397882488595883,6778.423944240968922
ING037,NATURAL POND,2013-06-24,ACTIVE,PEARCE ESTATES CATCH AND RELEASE POND,OUTSIDE AGENCY,2013-12-18,,PROVINCE OF ALBERTA,N-51048734,119.981771798420780,862.257732775793784
ST2001,WETLAND,2009-09-09,ACTIVE,19 FREEPORT WY NE,CALGARY PARKS,,61WPA FREE PORT BUSINESS PARK,CALGARY PARKS,N-30000080,643.372693373211405,7156.127644899994266
SGH008,WETLAND,2016-12-07,INSTALLED,,DEVELOPER CONSTRUCTION,2016-12-07,,CALGARY PARKS SHARED,N-51188275,346.750533989620294,8424.893938325929412
SAD343,WETLAND,2009-09-09,ACTIVE,,CALGARY PARKS,,74WPA SADDLECREST,CALGARY PARKS,N-30000106,690.748105524437733,14643.821241631989324
PAN077,WETLAND,2009-09-09,ACTIVE,142R PANATELLA HL NW,CALGARY PARKS SHARED,2011-08-22,95WPA PANORAMA HILLS UPPER POND,CALGARY PARKS,N-30000079,812.080507017488571,34288.976684253575513
ROY392,NATURAL POND,2009-09-09,ACTIVE,,CALGARY PARKS,2010-10-18,40WL ROYAL OAK,CALGARY PARKS,N-30000084,436.032602843571908,10692.837881356996149
SAD318,WETLAND,2016-12-28,ACTIVE,,CALGARY PARKS SHARED,2017-01-17,195WPA SADDLE RIDGE,CALGARY WATER,N-51191438,482.567827422368850,11100.243141161765379
BRI673,WETLAND,2009-09-09,ACTIVE,BRIDLEWOOD WETLAND,CALGARY PARKS,,21WLA BRIDLEWOOD WETLAND,CALGARY PARKS,N-30000096,474.041267264566272,5112.663695891201314
SET003,WETLAND,2017-01-18,ACTIVE,,CALGARY PARKS SHARED,2017-01-18,145WPA,CALGARY WATER,N-51194333,399.230303422990517,6340.518627152987392
CNS003,WETLAND,2020-01-10,INSTALLED,,DEVELOPER CONSTRUCTION,2020-01-16,,CALGARY PARKS,N-51342734,905.809685415775562,50812.956581661819655
HID239,NATURAL CREEK OR STREAM,2009-09-09,ACTIVE,BETWEEN HIDDEN CREEK DR AND STONEY TR NW,CALGARY PARKS,,WEST NOSE CREEK,CALGARY PARKS,N-30000073,2175.324476408779901,3080.201054493257288
ST1938,NATURAL CREEK OR STREAM,2009-09-09,ACTIVE,,CALGARY PARKS,,NOSE CREEK,CALGARY PARKS,N-30000069,750.812141356926986,4620.370501915848763
EVN260,NATURAL CREEK OR STREAM,2009-09-09,ACTIVE,BETWEEN STONEY TR AND 128 AV NW,CALGARY PARKS,2013-02-14,WEST NOSE CREEK,CALGARY PARKS,N-30000068,4434.087571227482840,8028.843438826106649
KCA830,WETLAND,2010-02-22,ACTIVE,,CALGARY PARKS - LANDSCAPE SERVICE AGREEMENT,2014-02-20,,CALGARY PARKS,N-50723632,771.001198754854045,23334.127187186313677
BLM001,WETLAND,2019-10-28,INSTALLED,,DEVELOPER CONSTRUCTION,2020-01-08,,CALGARY PARKS,N-51319811,964.641848255363470,34835.750035630662751
ROC202,NATURAL POND,2009-09-09,ACTIVE,ROCKY RODGE RD AND 112 AV NW,CALGARY PARKS,,76WPA POND A,CALGARY PARKS,N-30000025,404.623551803039902,6012.155064560996834
ROY388,NATURAL POND,2009-09-09,ACTIVE,,CALGARY PARKS,,,CALGARY PARKS,N-30000086,246.740088691733689,3204.548988830981216
ROY356,NATURAL POND,2009-09-09,ACTIVE,COUNTRY HILLS BV AND 112 AV NW,CALGARY PARKS SHARED,2013-02-15,83WL ROYAL OAK CENTRE,CALGARY PARKS,N-30000076,849.816065084084357,16446.742329813201650
AUB209,NATURAL POND,2012-03-05,ACTIVE,,CALGARY PARKS,2012-03-05,,CALGARY PARKS,N-51011167,119.069896045924693,872.359054253307363
SOM356,NATURAL POND,2009-09-09,ACTIVE,,CALGARY PARKS,,50WPA - SOMERSET,CALGARY PARKS,N-30000115,632.293426414542523,11372.542512308142250
BRI673,NATURAL POND,2009-09-09,ACTIVE,BRIDLEWOOD WETLAND,CALGARY PARKS,2012-01-23,BRIDLEWOOD WETLAND,CALGARY PARKS,N-30000093,178.507918587296160,610.437584513392608
ABP799,NATURAL CREEK OR STREAM,2009-09-09,ACTIVE,BETWEEN NOSE CREEK AND CENTRE ST,CALGARY PARKS,2016-05-30,WEST NOSE CREEK,CALGARY PARKS,N-30000015,7040.076186464526472,8800.215117515430393
ING037,WETLAND,2009-09-09,ACTIVE,PEARCE ESTATES,CALGARY PARKS,2013-12-18,PEARCE ESTATES,CALGARY PARKS,N-30000112,1120.343340900989006,2469.607325314175796
GRI829,NATURAL CREEK OR STREAM,2009-09-09,ACTIVE,BETWEEN 32 AV N AND MCKNIGHT BV,CALGARY PARKS,2016-11-29,NOSE CREEK,CALGARY PARKS,N-30000087,2872.496426906119268,9539.040099941643348
CPF010,NATURAL POND,2011-06-21,ACTIVE,,CALGARY PARKS,2018-03-14,,CALGARY PARKS,N-50883388,688.476527851119044,14765.662821856276423
EAU120,NATURAL RIVER,2009-09-09,ACTIVE,,CALGARY PARKS,2019-02-06,PRINCE'S ISLAND LAGOON,CALGARY PARKS,N-30000092,1885.837872116088420,30621.319001244813990
