Park_Quality_Index,site_name,Park_Type,Shape_Area,Park_Area_Log,Park_Area_MIN_MAX,Sports_Surface_Count,Sports_Log,Sports_MIN_MAX,Combined_Amenities_Count,Combined_Amenities_Count_Log,Combined_Amenities_MIN_MAX,Transit_Stop_Count_350m,Transit_Score,Water_Body_Count,Water_Body_Score,Path_Count_NonZero,Park_Path_Length,Pathway_Score
0.2304333,,SUBNEIGHBOURHOOD PARK,1312.142296959415717,3.118311790396998,0.029067352249178,0,0.000000000000000,0.000000000000000,1,0.301029995663981,0.110106098837036,3,1.0000000,0,0.0000000,0.0000000,,0.0000000
0.2303937,ARCHER ISLAND,NON-PARK,17044.040323702185560,4.231598032982959,0.303937216132579,0,0.000000000000000,0.000000000000000,0,0.000000000000000,0.000000000000000,4,1.0000000,0,0.0000000,0.0000000,,0.0000000
0.2303626,,SUBNEIGHBOURHOOD PARK,1303.520250617715874,3.115450825224868,0.028360981257283,0,0.000000000000000,0.000000000000000,1,0.301029995663981,0.110106098837036,4,1.0000000,0,0.0000000,0.0000000,,0.0000000
0.2303482,,SUBNEIGHBOURHOOD PARK,16971.839341830804187,4.229754500381417,0.303482048776811,0,0.000000000000000,0.000000000000000,0,0.000000000000000,0.000000000000000,7,1.0000000,0,0.0000000,0.0000000,,0.0000000
0.2301912,,SUBNEIGHBOURHOOD PARK,1282.829257857725224,3.108507268825571,0.026646620359489,0,0.000000000000000,0.000000000000000,1,0.301029995663981,0.110106098837036,6,1.0000000,0,0.0000000,0.0000000,,0.0000000
0.2300889,,SUBNEIGHBOURHOOD PARK,5229.865367890146445,3.718573542291852,0.177271704127720,1,0.301029995663981,0.175425063581955,6,0.845098040014257,0.309106898518714,0,0.0000000,0,0.0000000,14.0000000,24.8098469,0.5000000
0.2300190,,SUBNEIGHBOURHOOD PARK,1262.372871838991841,3.101531547137167,0.024924317866532,0,0.000000000000000,0.000000000000000,1,0.301029995663981,0.110106098837036,3,1.0000000,0,0.0000000,0.0000000,,0.0000000
0.2298693,,SUBNEIGHBOURHOOD PARK,1244.862563449687968,3.095470136041040,0.023427758240444,0,0.000000000000000,0.000000000000000,1,0.301029995663981,0.110106098837036,8,1.0000000,0,0.0000000,0.0000000,,0.0000000
0.2296112,,SUBNEIGHBOURHOOD PARK,1215.235715243732784,3.085017752493466,0.020847069525289,0,0.000000000000000,0.000000000000000,1,0.301029995663981,0.110106098837036,5,1.0000000,0,0.0000000,0.0000000,,0.0000000
0.2295781,,SUBNEIGHBOURHOOD PARK,1211.483199026978355,3.083675729443021,0.020515724648209,0,0.000000000000000,0.000000000000000,1,0.301029995663981,0.110106098837036,4,1.0000000,0,0.0000000,0.0000000,,0.0000000
