teleride_n,stop_name,status,date_creat,time_creat,date_mod_d,time_mod_d,globalid
7596.000000000000000,EB Richmond RD @ Stewart GR SW,ACTIVE,2024-09-29 0:00:00,22:07:51.000,2024-09-29 0:00:00,22:07:51.000,c01a7a55-8e65-4b33-acaa-902c29f07fc8
5176.000000000000000,SB Centre ST N @ 14 AV N,ACTIVE,2024-09-29 0:00:00,22:07:51.000,2024-09-29 0:00:00,22:07:51.000,d1604f18-2d6e-44a1-8038-5eca6f181735
9802.000000000000000,EB 9 AV @ Macleod TR SE,ACTIVE,2024-09-29 0:00:00,22:07:51.000,2024-09-29 0:00:00,22:07:51.000,886f3982-7f29-4ed3-b4fb-d87bd304e3bb
8285.000000000000000,SB Deer Ridge DR @ 137 AV SE,ACTIVE,2024-09-29 0:00:00,22:07:51.000,2024-09-29 0:00:00,22:07:51.000,324145a5-bef7-4c93-a45d-1bf57f83e59e
4461.000000000000000,NB 44 ST SE @ 14 AV SE,ACTIVE,2024-09-29 0:00:00,22:07:51.000,2024-09-29 0:00:00,22:07:51.000,5c4a6b9a-5344-4471-a6df-5b66af0cf171
8149.000000000000000,NB 52 ST NE @ S. of 32 AV NE,ACTIVE,2024-09-29 0:00:00,22:07:51.000,2024-09-29 0:00:00,22:07:51.000,4ad0bc74-ebb8-4c85-ad52-dea521acccfa
4031.000000000000000,EB 14 AV NW @ 22 ST NW,ACTIVE,2024-09-29 0:00:00,22:07:51.000,2024-09-29 0:00:00,22:07:51.000,989457ea-0bf4-425a-8689-b69d7ed4b940
9268.000000000000000,SB 45 ST SW @ 30 AV SW,ACTIVE,2024-09-29 0:00:00,22:07:51.000,2024-09-29 0:00:00,22:07:51.000,60b59775-cbb3-4f1e-96e8-6099b6eebbb0
8226.000000000000000,EB  Shawnessy DR @ Shawmeadows RD SW,ACTIVE,2024-09-29 0:00:00,22:07:51.000,2024-09-29 0:00:00,22:07:51.000,2a8e4b0a-6854-4d11-8ac8-d5de8d84d019
5428.000000000000000,EB 58 AV @ W. of Chinook Centre,ACTIVE,2024-09-29 0:00:00,22:07:51.000,2024-09-29 0:00:00,22:07:51.000,005b0731-6213-45b8-9cdb-528e08026da1
4737.000000000000000,NB Shawville BV @ Shawville GA SE,ACTIVE,2024-09-29 0:00:00,22:07:51.000,2024-09-29 0:00:00,22:07:51.000,2fd39a90-1b9c-4461-89dd-8922da637c0f
9325.000000000000000,SB Lake Fraser DR @ N. of Lake Fraser GA SE,ACTIVE,2024-09-29 0:00:00,22:07:51.000,2024-09-29 0:00:00,22:07:51.000,6e5f715d-c3f7-4ef9-9280-8c482e75ba0d
9292.000000000000000,EB Taravista DR @ Taracove Estate DR NE,ACTIVE,2024-09-29 0:00:00,22:07:51.000,2024-09-29 0:00:00,22:07:51.000,0c835996-654a-4e21-b8f4-0f2da8247575
2272.000000000000000,WB Skyview Ranch RD @ Skyview Ranch BV NE,ACTIVE,2024-09-29 0:00:00,22:07:51.000,2024-09-29 0:00:00,22:07:51.000,0ed93768-b5fe-47ba-9be4-0e63609b7ce1
8635.000000000000000,SB Centre ST N @ N. of Beddington BV N,ACTIVE,2024-09-29 0:00:00,22:07:51.000,2024-09-29 0:00:00,22:07:51.000,a4c0b1dd-9f76-43b6-b74e-a1a28f762c51
2257.000000000000000,WB  Redstone DR @  Redstone ST NE,ACTIVE,2024-09-29 0:00:00,22:07:51.000,2024-09-29 0:00:00,22:07:51.000,bd452467-42b0-4a8c-90cf-1eacea51cf93
2336.000000000000000,SB 68 ST NE @ 8 AV NE,ACTIVE,2024-09-29 0:00:00,22:07:51.000,2024-09-29 0:00:00,22:07:51.000,00ab938b-be79-4a32-9c79-faf220f4fdb6
8006.000000000000000,SB Nose Hill DR @ Crowfoot WY NW,ACTIVE,2024-09-29 0:00:00,22:07:51.000,2024-09-29 0:00:00,22:07:51.000,232ecd99-7fa3-4437-9380-bf99eb1ef7e0
5239.000000000000000,EB Northmount DR @ Charleswood DR NW,ACTIVE,2024-09-29 0:00:00,22:07:51.000,2024-09-29 0:00:00,22:07:51.000,ff4d9991-dbf3-4d03-8d9d-a1573c22214d
3738.000000000000000,NB 45 Street West LRT Station,ACTIVE,2024-09-29 0:00:00,22:07:51.000,2024-09-29 0:00:00,22:07:51.000,3ffb7f24-7693-495f-aa35-300a1c8ba4ea
5968.000000000000000,NB Lake Sylvan DR @ N. of Lake Michigan CR SE,ACTIVE,2024-09-29 0:00:00,22:07:51.000,2024-09-29 0:00:00,22:07:51.000,f1f230ab-a73b-48db-bc25-8934b7d474fd
4982.000000000000000,EB Martin Crossing DR @ Martin Crossing GR NE,ACTIVE,2024-09-29 0:00:00,22:07:51.000,2024-09-29 0:00:00,22:07:51.000,4518bfc5-79ca-430a-875b-79d90cb0c507
3902.000000000000000,WB 114 AV SE (WBay) @ 29 ST SE,ACTIVE,2024-09-29 0:00:00,22:07:51.000,2024-09-29 0:00:00,22:07:51.000,0c514cc6-d554-4e2a-b992-f2a4e7258f8c
7115.000000000000000,NB Silver Springs DR @ S of Silver Springs HILL NW,ACTIVE,2024-09-29 0:00:00,22:07:51.000,2024-09-29 0:00:00,22:07:51.000,8d5b58be-1960-478a-b270-2814d22b9c25
5481.000000000000000,NB 14 ST NW @ North Haven DR,ACTIVE,2024-09-29 0:00:00,22:07:51.000,2024-09-29 0:00:00,22:07:51.000,9336d563-25d5-4e14-8545-73fd9e22c072
3548.000000000000000,EB 112 AV NW @ Royal Vista DR NW,ACTIVE,2024-09-29 0:00:00,22:07:51.000,2024-09-29 0:00:00,22:07:51.000,3a9a3c72-e175-4704-830d-e79f63804f22
