asset_type,material,number_cou,Shape_Length,Shape_Area
BALL DIAMOND INFIELD,MOWED TURF,,87.047080074052928,433.036988496587469
SOCCER,MOWED TURF,,240.242000000551343,3208.219089053074185
BALL DIAMOND INFIELD,MOWED TURF,,82.807769534542373,384.610438733588182
BALL DIAMOND INFIELD,MOWED TURF,,86.526985482427676,379.835556193120965
BALL DIAMOND INFIELD,MOWED TURF,,68.400622115188241,299.448305837989153
SOCCER,MOWED TURF,,240.242213758022757,3208.224796570066246
BALL DIAMOND INFIELD,MOWED TURF,,77.874517034853838,352.439986496368988
SOCCER,MOWED TURF,,215.441554526864934,2529.160767728127212
BALL DIAMOND INFIELD,MOWED TURF,,61.085930449099365,193.306250916034941
SOCCER,MOWED TURF,,403.459999999031425,8883.645500946602624
BALL DIAMOND INFIELD,MOWED TURF,,95.971157862442382,461.863015461114060
BALL DIAMOND INFIELD,MOWED TURF,,88.234436155021925,378.493752406859244
BALL DIAMOND INFIELD,MOWED TURF,,75.037087448714672,348.484061991297551
BALL DIAMOND INFIELD,MOWED TURF,,78.054732678899299,362.434461619265733
SOCCER,MOWED TURF,,339.819281586305465,6977.587470405404929
BALL DIAMOND INFIELD,MOWED TURF,,75.408732572328077,291.009025181538732
BALL DIAMOND INFIELD,MOWED TURF,,82.686287892662676,426.370217171869285
BALL DIAMOND INFIELD,MOWED TURF,,95.886617626036411,427.590820433325803
BALL DIAMOND INFIELD,MOWED TURF,,74.861433979363980,333.555834441045704
BALL DIAMOND INFIELD,MOWED TURF,,73.490360569566633,195.755766821416870
BALL DIAMOND INFIELD,MOWED TURF,,83.445396306244248,440.428002503664686
BALL DIAMOND INFIELD,MOWED TURF,,77.450854186325088,308.553462942105909
BALL DIAMOND INFIELD,MOWED TURF,,79.523822723622132,366.143893066375369
BALL DIAMOND INFIELD,MOWED TURF,,89.394972310204167,507.190380757349260
BALL DIAMOND INFIELD,MOWED TURF,,84.015477094059094,399.816315999511346
BALL DIAMOND INFIELD,MOWED TURF,,82.504930716321681,463.876526320954497
BALL DIAMOND INFIELD,MOWED TURF,,96.118058175852596,622.514381751002134
BALL DIAMOND INFIELD,MOWED TURF,,90.648844806732043,575.637973711275890
BALL DIAMOND OUTFIELD,MOWED TURF,,310.737359119907921,4605.065820122887999
BALL DIAMOND OUTFIELD,MOWED TURF,,260.475453768352565,3962.657115569686084
BALL DIAMOND OUTFIELD,MOWED TURF,,269.853012899447151,3558.275415755875656
